name,age,gender,salary,education,years of service
Jasmine Gomez,42,Female,72000,Ph.D.,12
David Kim,35,Male,65000,M.S.,5
Emma Smith,29,Female,58000,Bachelor's,2
Miguel Rodriguez,48,Male,82000,Ph.D.,18
Ava Chen,31,Female,60000,M.S.,3
Carlos Lopez,56,Male,93000,Ph.D.,25
Samantha Lee,40,Female,71000,Bachelor's,10
Isabella Garcia,45,Female,78000,Ph.D.,15
Michael Johnson,37,Male,66000,M.S.,7
Sophia Hernandez,33,Female,64000,Bachelor's,4
Bradley Davis,33,Female,63968,M.S.,5
Thomas Davis,46,Male,75057,Ph.D.,3
Justin Smith,55,Female,88720,Bachelor's,11
Ronald Jones,58,Female,72645,Ph.D.,27
Alyssa Kent,65,Male,83737,Bachelor's,19
Krista Baker,59,Male,82678,Bachelor's,18
Eric Padilla,37,Female,71093,Bachelor's,13
Tammy Baker,63,Male,94221,Bachelor's,25
Emma Wood,36,Female,87454,M.S.,27
Joseph Bass,47,Male,92741,M.S.,19
David Collins,49,Male,90065,M.S.,3
Steven Mason,51,Female,91320,M.S.,3
Emily Jones,39,Male,86047,Bachelor's,19
Briana Martin,38,Female,72850,Ph.D.,25
Trevor Johnston,45,Female,59301,Ph.D.,4
Jessica Young,62,Female,58674,Bachelor's,24
Matthew Lopez,63,Female,86528,Bachelor's,19
Christopher Roberts,43,Male,63177,Bachelor's,23
Sean Jones,56,Male,62609,Bachelor's,14
Kenneth Harvey,26,Male,70737,Ph.D.,30
Chelsea Horton,36,Female,67153,Ph.D.,19
Craig Durham,41,Female,50232,Bachelor's,16
Annette Shaw,56,Male,65921,Bachelor's,11
Jeffrey Collins,60,Female,90363,M.S.,18
Gerald Smith,53,Male,62125,Ph.D.,8
Rose Scott,44,Female,81164,Bachelor's,4
Melissa Jones,47,Male,75145,Bachelor's,28
Jennifer White,51,Female,67478,Bachelor's,18
Diana Lawrence,25,Male,85401,Ph.D.,18
Adrian Young,57,Male,56681,Bachelor's,22
Michael French,63,Female,65319,M.S.,4
Christopher Harrison,38,Male,61693,Ph.D.,10
Brian Ayers,64,Female,70630,M.S.,2
Gregory Duran,36,Male,92866,M.S.,18
Jeffrey Heath,50,Male,74347,M.S.,1
Joseph Montoya,48,Male,98281,Ph.D.,26
Michele Munoz,63,Female,98355,Bachelor's,4
Robert Hunt,59,Female,70283,M.S.,15
Taylor Hill,57,Female,76332,Bachelor's,15
Krystal Trujillo,35,Male,82661,Bachelor's,26
Tyler Pitts,31,Male,60807,M.S.,3
Glenn Livingston,29,Male,93843,Ph.D.,8
Natasha Martin,25,Female,69023,M.S.,15
Jennifer Meadows,30,Male,64919,Bachelor's,10
Paul Campbell,29,Male,58128,M.S.,25
Tammy Gonzales,53,Female,68752,Bachelor's,3
Russell Peterson,47,Female,77247,Ph.D.,15
Scott Jones,56,Male,96185,M.S.,15
Anne Smith,64,Male,93787,Ph.D.,19
Jessica Jacobs,64,Male,60848,M.S.,18
Angela Harris,28,Male,89443,M.S.,23
Matthew Warren,53,Female,94424,Ph.D.,15
James Gordon,35,Male,89560,Bachelor's,3
Monica Smith,38,Female,51988,Bachelor's,25
Timothy Taylor,42,Male,62162,Bachelor's,24
Michael Gill,61,Male,63050,Bachelor's,15
William Mendez,39,Female,83115,M.S.,24
Katherine Parker,37,Male,98220,M.S.,27
Sandy Gomez,60,Male,60630,M.S.,23
Victoria Williamson,34,Male,91677,Bachelor's,16
Beth Scott,48,Male,73002,Ph.D.,14
Kevin Davis,35,Male,79826,M.S.,4
Michele Harris,44,Female,84211,M.S.,13
Debra Powell,38,Male,81086,M.S.,19
Jason Barker,55,Male,53137,M.S.,13
Glenn Johnson MD,29,Male,60602,Ph.D.,12
Michelle Richards,36,Male,50635,Ph.D.,20
Melissa Alvarez,27,Female,54986,Bachelor's,18
Mr. Brian Cruz,46,Male,86033,M.S.,17
Daniel Walker,56,Female,78447,M.S.,25
Danielle House,26,Female,84319,M.S.,2
Danielle Hardy,28,Female,50919,Ph.D.,4
John Dickerson,61,Male,67118,Bachelor's,14
Lindsey Matthews,41,Female,90320,Bachelor's,2
Theresa Green,46,Female,65526,Ph.D.,17
Peter Chavez,55,Female,52085,Bachelor's,10
Alicia Wong,44,Male,79117,Ph.D.,1
Cody Petersen,47,Male,81419,Bachelor's,25
Sara Finley,52,Female,79834,Ph.D.,27
Abigail Mullins,33,Female,60697,M.S.,18
Thomas Alvarado,38,Female,96288,M.S.,18
Aaron Johnson,63,Female,93057,Ph.D.,22
Sandra Kent,46,Female,83647,Bachelor's,24
Denise Cooke,32,Male,63389,M.S.,2
Amy Crawford,34,Female,78338,Bachelor's,8
Samuel Luna,30,Male,60428,Bachelor's,9
Patricia Huerta,54,Female,59537,Ph.D.,7
Jeffrey Martinez,64,Female,91566,M.S.,16
Colin Watson,29,Male,90660,Bachelor's,5
Grant Lawrence,37,Male,66654,Bachelor's,25
Dustin Johnson,48,Female,60021,M.S.,14
Rose Rangel,35,Female,61561,M.S.,15
Jennifer Butler,55,Female,75617,M.S.,22
Samuel Smith,42,Female,96968,Ph.D.,28
Randall Burnett,38,Female,57643,Ph.D.,25
Katherine Flores,58,Male,68634,Ph.D.,13
Joshua Hawkins,52,Female,50377,Bachelor's,20
Kelli Snyder,46,Female,67866,M.S.,7
Joseph Austin,31,Female,85474,Ph.D.,20
Jenny Swanson,55,Male,63787,M.S.,15
Jessica Aguilar,38,Female,51284,Bachelor's,14
Russell Aguirre,25,Male,80308,Ph.D.,4
Mallory Davis,35,Female,89118,M.S.,29
Laura Brown,36,Male,84697,Bachelor's,13
Paul Cox,55,Female,59850,Bachelor's,12
Joshua Young,56,Female,70264,Ph.D.,6
Sara Estrada,54,Female,99767,M.S.,18
Robert Mckinney,55,Male,96088,Ph.D.,26
Amber Ramirez DDS,38,Male,82758,Bachelor's,30
Terry Alvarez,46,Female,99574,Ph.D.,17
Ashley Roberts,35,Female,63792,Ph.D.,14
Molly Rangel,29,Female,65917,Bachelor's,11
Robert Wood,58,Male,50896,Bachelor's,21
Deborah Miller,27,Male,83683,M.S.,20
Joshua Bennett,45,Female,76738,M.S.,22
Lauren Graham,39,Male,84456,M.S.,24
Toni Graham,34,Female,71442,Bachelor's,29
Alex Oconnor,41,Male,72816,Ph.D.,11
Mr. Shawn Lee,42,Female,80330,Bachelor's,20
Ruth Owens,31,Male,86481,Ph.D.,13
Debra Anderson,27,Female,59535,M.S.,5
Jeffrey Wood,38,Female,79951,M.S.,1
Jennifer Anderson,64,Male,61853,Bachelor's,7
Angela Espinoza,46,Female,74129,Bachelor's,2
Hayden Hinton,59,Female,90889,Bachelor's,16
Mark Rosario,35,Male,51854,M.S.,21
Ryan Thompson,48,Female,73283,M.S.,18
Joel Holloway,60,Female,92454,Bachelor's,1
Michael Barnett,44,Female,83788,Bachelor's,24
Paige Jones,32,Male,65381,M.S.,9
Christopher Bailey,31,Male,86636,Ph.D.,14
Rodney Thompson,63,Male,50917,M.S.,16
Shirley Berry,49,Male,66490,M.S.,21
Charles Barnes,35,Male,90123,M.S.,3
Andrew Humphrey,36,Male,70501,Ph.D.,16
Kelly Morgan,38,Female,85651,Bachelor's,4
Jose Ray,42,Female,92973,Bachelor's,29
Kayla Pacheco,61,Female,50889,M.S.,16
Dr. Joshua Ruiz,30,Female,96313,Bachelor's,14
Rebecca Williams,49,Male,55050,Bachelor's,25
Marissa Ortiz,42,Male,81250,Bachelor's,9
Jordan Nelson,51,Female,63116,Bachelor's,10
Traci Allen,46,Female,91635,M.S.,18
Anthony Harris,45,Female,99679,Bachelor's,1
Joshua Williams,39,Female,95009,M.S.,18
Melissa Huerta,61,Female,71811,M.S.,10
Anthony Johnson,57,Female,54101,M.S.,8
Shannon Price,35,Female,52799,Ph.D.,3
Derek Rodriguez,44,Female,87690,Bachelor's,22
Megan Brooks,39,Male,60618,Ph.D.,28
Matthew Mitchell,44,Female,87262,M.S.,7
Kevin Flowers,33,Female,86151,M.S.,21
Shelly Acosta,25,Female,88058,Ph.D.,29
Jennifer Parsons,64,Female,74111,Bachelor's,12
Chelsea Stuart,64,Male,66310,Bachelor's,13
John Lin,31,Male,63378,M.S.,11
Thomas Thompson,43,Female,66032,Bachelor's,16
Garrett Potter,48,Male,52451,Bachelor's,20
Jay Hill,65,Female,90735,Ph.D.,8
Antonio Martin,39,Female,93153,Bachelor's,15
Alexander Anderson,63,Female,83587,Bachelor's,16
Alexa Spencer,32,Male,56155,Ph.D.,11
Leonard Freeman,43,Male,79636,M.S.,14
Joanna Brock,31,Male,94986,M.S.,28
Veronica Parks,54,Female,79027,Bachelor's,28
Brian Rodriguez,38,Female,76872,Bachelor's,23
Jeremy Lewis,49,Male,63512,Bachelor's,14
Kimberly Munoz,65,Male,76831,Ph.D.,9
Samantha Duncan,33,Female,74834,Bachelor's,8
Kayla Rojas,33,Male,68204,M.S.,23
Jennifer Patton,54,Male,64641,M.S.,29
Matthew Harmon,52,Male,84500,M.S.,4
Kathryn Rowe,29,Male,94529,Bachelor's,7
Kristin Dawson,28,Female,98255,Bachelor's,23
Alexandria Campbell,28,Male,96198,M.S.,11
Shannon Gonzalez,45,Male,98475,Ph.D.,11
Wendy Caldwell,37,Female,68591,Bachelor's,21
Mrs. Courtney Parker MD,35,Female,95669,M.S.,20
Robert Sullivan,49,Male,94333,Ph.D.,24
Donna Vargas,62,Male,86442,M.S.,10
Susan Logan,56,Male,71611,M.S.,17
Patrick Best,50,Female,87556,M.S.,15
Charles Taylor,33,Male,51460,M.S.,27
Gary Alexander,38,Male,68793,Bachelor's,7
David Griffin,65,Male,63994,Ph.D.,7
Michael Pierce,58,Female,59459,Ph.D.,28
Mike Martinez,51,Female,86856,M.S.,10
George Marshall,33,Female,71309,M.S.,3
Charles Lowe,42,Male,98606,Bachelor's,13
Jordan Brown,60,Male,83394,M.S.,23
Sherry Walsh,28,Female,52224,Bachelor's,7
Veronica Bates,54,Female,65381,Ph.D.,20
David Garner,28,Female,85976,M.S.,15
Jamie Aguilar,47,Female,78595,Ph.D.,26
Jonathan Gardner,44,Female,88580,Bachelor's,16
Jamie Gregory,52,Male,61182,Bachelor's,28
Bonnie Norman,59,Female,77340,Bachelor's,23
Rick Hansen,26,Male,58394,M.S.,9
Daniel Richardson,43,Male,83164,M.S.,9
Tiffany Newton,42,Male,84286,Bachelor's,4
William Lozano,25,Female,52244,Ph.D.,26
Andrew Harrison PhD,31,Female,67993,Bachelor's,11
Donna Mcdonald,33,Female,72501,Bachelor's,30
Andrew West,49,Female,51669,Bachelor's,19
Sarah King,25,Female,76248,Bachelor's,23
Anna Burke,34,Male,87665,Bachelor's,5
Brandon Sanders,29,Male,67205,M.S.,13
Amanda Johnson,52,Male,63269,Ph.D.,7
Gregory Ferguson,31,Female,86479,Ph.D.,2
Teresa Henderson,43,Male,61915,Ph.D.,21
Roger Sanchez,64,Male,51902,Bachelor's,5
Angela Little,29,Male,77243,M.S.,7
Kayla Gallegos,28,Male,92348,M.S.,16
Andrew Anderson,61,Female,51509,Ph.D.,16
Michelle Norton,65,Male,94134,M.S.,27
Jeremy Lawrence,43,Female,68210,Bachelor's,27
Tyler Johnson,65,Female,66204,Ph.D.,14
Sydney Buckley,62,Female,74187,Bachelor's,25
Caleb Avery,61,Male,86633,M.S.,13
Damon Miller,30,Male,98373,Ph.D.,20
Alicia Wright,44,Female,79520,Bachelor's,6
Mark Roy,32,Female,96892,M.S.,28
Brandy Rose,58,Female,81278,Bachelor's,8
Elizabeth Stone,42,Male,89929,M.S.,30
Lindsay Cohen,56,Female,74209,Ph.D.,17
Michael Dalton,48,Male,89984,M.S.,1
Alicia Horn,43,Male,75907,Bachelor's,27
Robert Webb,39,Male,71038,Bachelor's,18
Patricia Johnson,25,Female,52340,M.S.,30
Brian Williams,40,Male,92998,Ph.D.,15
Susan Brown,40,Female,99759,Ph.D.,25
Lisa Ramos,28,Female,52171,M.S.,19
Raymond Stewart,63,Male,92844,Bachelor's,13
Jennifer Taylor,40,Male,87749,Ph.D.,28
Christina Burns,41,Female,56987,Bachelor's,17
Nicole Rogers,41,Male,65968,Bachelor's,14
Andrew Cohen,63,Male,82574,Bachelor's,4
Tracy Johnson,55,Male,55170,M.S.,8
Kyle Hernandez,57,Female,54239,Ph.D.,12
Brenda Santana,31,Male,61304,Bachelor's,17
Cody Lopez,64,Female,71420,M.S.,11
Bryan Johnson,44,Male,87127,Bachelor's,22
Todd Park,29,Male,92901,Bachelor's,29
James Wells,54,Female,81525,Ph.D.,11
Jamie Hester,34,Female,79377,M.S.,14
Derek Whitney,51,Female,54576,Bachelor's,19
John Williams,58,Male,76375,Bachelor's,22
Devon Goodwin,44,Female,76300,Bachelor's,25
Richard Fischer,61,Male,97001,Ph.D.,10
Frederick Harrison,51,Male,58082,Ph.D.,26
Tom Flores,39,Male,80782,M.S.,27
Thomas Fitzgerald,28,Female,94566,Bachelor's,10
Jordan Clay,53,Female,75447,M.S.,6
Michelle Woods,58,Female,61050,Ph.D.,22
Alice Bryant,37,Male,64761,Bachelor's,16
Heather Anderson,58,Female,72173,Ph.D.,10
Wendy White,56,Male,64485,Ph.D.,19
Ryan Nelson,39,Male,77845,Ph.D.,15
Barbara Carey,58,Male,68805,M.S.,29
Christopher Proctor,25,Male,66043,Bachelor's,30
Lauren Moore,38,Male,88337,Ph.D.,20
Jacob Crawford,54,Male,77243,M.S.,3
Molly Keith,31,Female,69233,Ph.D.,13
Elizabeth Fritz,63,Female,92160,Bachelor's,13
Diane Gonzalez,33,Male,89594,Bachelor's,4
Amber Flowers,55,Male,95537,Ph.D.,7
Lisa Aguirre,30,Male,74193,Ph.D.,30
Wendy Brown,59,Male,71197,Ph.D.,15
Jessica Clark,52,Female,99301,M.S.,5
Dylan Serrano,54,Female,84631,Bachelor's,16
Vicki Martinez,61,Female,81963,Ph.D.,21
Raymond Thompson,47,Female,92713,Bachelor's,26
Ms. Kimberly Perez,35,Female,87378,Ph.D.,25
Janet Cook,61,Male,53952,M.S.,22
Kristen Thompson,34,Female,59481,Ph.D.,18
Elaine Taylor,55,Female,80921,M.S.,2
Amanda Burns,51,Female,85162,M.S.,13
Thomas Hill,50,Male,79810,Bachelor's,14
Daniel Terry,35,Male,65019,Bachelor's,26
Stephanie Kane,52,Female,50249,Bachelor's,6
Christopher Olson,39,Male,65167,M.S.,1
Ian Baker,25,Female,68984,Bachelor's,26
Amber Dennis,53,Female,70833,M.S.,11
Abigail Fuentes,33,Female,56432,Bachelor's,5
George Malone,46,Male,52041,Ph.D.,1
Jason Edwards,59,Male,54458,Bachelor's,13
Amy Wilson,44,Female,98339,Ph.D.,30
